Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Randy Arozarena","TBR",151,654,23,95,83,22,0.122324159,0.23853211,0.170598911,0.310344827,0.254083484,0.363914373,0.424682395,0.3465814679906708,0.352,125.84652041957372,1.799836814403534,22.053928065088726,-10.70783019065857,3.347160488532486,"Randy Arozarena",19290,668227
"Bryce Harper","PHI",126,546,21,84,72,11,0.146520146,0.217948717,0.205689278,0.352024922,0.29321663,0.401098901,0.498905908,0.3842184762972438,0.397,142.17878963979706,-2.4990532398223877,26.031190035619755,-11.490290760993958,3.3043550378021114,"Bryce Harper",11579,547180
"Jeimer Candelario","- - -",140,576,22,77,70,8,0.092013888,0.220486111,0.21980198,0.291666666,0.251485148,0.335652173,0.471287128,0.3458680145001162,0.319,116.99510917868237,1.191666640341282,13.31899568966042,0.10159993171691895,3.294529212227679,"Jeimer Candelario",13621,600869
"Marcell Ozuna","ATL",144,592,40,84,100,0,0.096283783,0.226351351,0.284905661,0.293296089,0.273584905,0.346283783,0.558490566,0.3809487238753266,0.4,139.10292475711128,-0.4324860433116555,28.24556728886899,-15.589833170175552,3.272599381277911,"Marcell Ozuna",10324,542303
"Ke'Bryan Hayes","PIT",124,525,15,65,61,10,0.053333333,0.198095238,0.182186235,0.314814814,0.27125506,0.308571428,0.453441295,0.32418883051581054,0.322,101.06906885927462,-1.464621001854539,-0.7693026345456611,15.47750997543335,3.2497167596459593,"Ke'Bryan Hayes",18577,663647
"Matt McLain","CIN",89,403,16,65,50,14,0.076923076,0.285359801,0.216438357,0.384615384,0.290410958,0.357320099,0.506849315,0.3702291730911501,0.332,128.21894325769856,0.8113928404636681,14.899884898290455,3.8522400856018066,3.238621212966535,"Matt McLain",29695,680574
"Gleyber Torres","NYY",158,672,25,90,68,13,0.09970238,0.145833333,0.179530202,0.288100208,0.273489932,0.34672619,0.453020134,0.3455103055707046,0.361,122.5886594019492,-4.803979384712875,13.384343673066272,-3.7701642513275146,3.2354414149371036,"Gleyber Torres",16997,650402
"Lars Nootbaar","STL",117,503,14,74,46,11,0.143141153,0.196819085,0.157276995,0.306962025,0.26056338,0.366533864,0.417840375,0.3441941874027252,0.357,118.21198296285753,2.1683847531676292,13.517027885998024,1.4923899173736572,3.20503465378089,"Lars Nootbaar",21454,663457
"Seiya Suzuki","CHC",138,583,20,75,74,6,0.101200686,0.222984562,0.2,0.341397849,0.285436893,0.3567753,0.485436893,0.35845275644598334,0.358,126.3976252383314,-3.3949038218706846,15.670768860096839,-3.633929967880249,3.18031799786334,"Seiya Suzuki",30116,673548
"Eugenio Suárez","SEA",162,694,22,68,96,2,0.100864553,0.308357348,0.158862876,0.313672922,0.232441471,0.32276657,0.391304347,0.3132935079614436,0.328,102.47854575845676,-3.1550637031905353,-1.0940098433589163,9.233780145645142,3.162952608225975,"Eugenio Suarez",12552,553993
