Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
"34. Sun,5/7 at ATL L (2-3)",McCann,Mountcastle,Frazier,Urías,Henderson,Hays,Mullins,Stowers,Wells,Santander
"36. Tue,5/9 vs TBR W (4-2)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Stowers,Rodriguez,Santander
"38. Fri,5/12 vs PIT W (6-3)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Stowers,Bradish,Santander
"39. Sat,5/13 vs PIT W (2-0)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Wells,O'Hearn
"40. Sun,5/14 vs PIT L (0-4)",McCann,Mountcastle,Frazier,Henderson,Ortiz,Hays,Mullins,Stowers,Gibson,Santander
"41. Mon,5/15 vs LAA L (5-9)",Rutschman,Santander,Frazier,Henderson,Mateo,Hays,Mullins,Vavra,Rodriguez,Mountcastle
"42. Tue,5/16 vs LAA W (7-3)",Rutschman,Santander,Frazier,Henderson,Mateo,Hays,Mullins,Vavra,Kremer,O'Hearn
"43. Wed,5/17 vs LAA W (3-1)",Rutschman,Mountcastle,Frazier,Henderson,Ortiz,Hays,Mullins,Vavra,Bradish,Santander
"46. Sat,5/20 at TOR W (6-5)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Vavra,Mullins,Santander,Rodriguez,O'Hearn
"47. Sun,5/21 at TOR W (8-3)",McCann,Mountcastle,Frazier,Henderson,Ortiz,Hays,Mullins,Santander,Kremer,Rutschman
"48. Tue,5/23 at NYY L (5-6)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Vavra,Bradish,Santander
"50. Thu,5/25 at NYY W (3-1)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,McKenna,Santander,Gibson,Mountcastle
"51. Fri,5/26 vs TEX L (2-12)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Rodriguez,O'Hearn
"55. Tue,5/30 vs CLE W (8-5)",Rutschman,Mountcastle,Frazier,Urías,Mateo,Vavra,Hays,Santander,Gibson,Henderson
"56. Wed,5/31 vs CLE L (8-12)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,McKenna,Hicks,O'Hearn,Akin,Santander
"57. Fri,6/2 at SFG W (3-2)",Rutschman,O'Hearn,Frazier,Urías,Mateo,Hays,Hicks,Santander,Kremer,Henderson
"58. Sat,6/3 at SFG L (0-4)",Rutschman,Mountcastle,Frazier,Henderson,Mateo,Hays,Hicks,O'Hearn,Bradish,Santander
"59. Sun,6/4 at SFG W (8-3)",McCann,Mountcastle,Frazier,Lester,Mateo,Hays,Hicks,Santander,Wells,Rutschman
"60. Tue,6/6 at MIL L (3-4)",Rutschman,Mountcastle,Frazier,Urías,Mateo,Hays,Hicks,Santander,Gibson,O'Hearn
"61. Wed,6/7 at MIL L (2-10)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Hicks,Santander,Kremer,Lester
"62. Thu,6/8 at MIL W (6-3)",McCann,Mountcastle,Frazier,Urías,Henderson,O'Hearn,Hays,Santander,Bradish,Rutschman
"64. Sat,6/10 vs KCR W (6-1)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Hicks,Santander,Irvin,Lester
"65. Sun,6/11 vs KCR W (11-3)",McCann,Lester,Frazier,Urías,Henderson,Hays,Hicks,O'Hearn,Gibson,Santander
"66. Tue,6/13 vs TOR W (11-6)",Rutschman,O'Hearn,Frazier,Urías,Mateo,Hays,Hicks,Santander,Kremer,Henderson
"67. Wed,6/14 vs TOR L (1-3)",Rutschman,Lester,Frazier,Urías,Henderson,Hays,Hicks,O'Hearn,Bradish,Santander
"69. Fri,6/16 at CHC L (3-10)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Hicks,Santander,Irvin,Urías
"71. Sun,6/18 at CHC W (6-3)",Rutschman,Lester,Frazier,Urías,Mateo,Hays,Hicks,O'Hearn,Kremer,Santander
"72. Tue,6/20 at TBR W (8-6)",Rutschman,O'Hearn,Frazier,Urías,Mateo,Hays,Hicks,Santander,Bradish,Henderson
"73. Wed,6/21 at TBR L (2-7)",Rutschman,Urías,Frazier,Henderson,Mateo,Hays,Hicks,Santander,Wells,O'Hearn
"74. Fri,6/23 vs SEA L (1-13)",Rutschman,O'Hearn,Frazier,Urías,Mateo,Hays,Hicks,Santander,Gibson,Henderson
"75. Sat,6/24 vs SEA W (6-4)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Hays,Hicks,Santander,Kremer,Mullins
"76. Sun,6/25 vs SEA W (3-2)",Bemboom,O'Hearn,Frazier,Henderson,Mateo,Hays,Mullins,Santander,Bradish,Hicks
"79. Wed,6/28 vs CIN L (7-11)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Mullins,Santander,Gibson,Hicks
"80. Fri,6/30 vs MIN L (1-8)",Bemboom,O'Hearn,Frazier,Urías,Henderson,Hays,Mullins,Santander,Kremer,Rutschman
"81. Sat,7/1 vs MIN L (0-1)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Mullins,Hicks,Bradish,Santander
"82. Sun,7/2 vs MIN W (2-1)",Bemboom,Urías,Westburg,Henderson,Mateo,Hays,Mullins,Santander,Irvin,Rutschman
"83. Mon,7/3 at NYY L (3-6)",Rutschman,O'Hearn,Urías,Henderson,Mateo,Hicks,Mullins,Frazier,Wells,Santander
"84. Tue,7/4 at NYY L (4-8)",McCann,O'Hearn,Frazier,Westburg,Henderson,Hicks,Mullins,Santander,Gibson,Rutschman
